State,District,Region,State_key,District_key,RMNCH,Infectious_Diseases,NCD,SCA,FRP,UHC_Index,UHC_Gap,UHC_Tercile,Service_Coverage,FRP_D,SCA_FRP_Gap,UHC_District,UHC_Poorest20,UHC_Rural,UHC_SCST,UHC_ReligMin,Equity_Gap_Poor,Equity_Gap_Rural,Equity_Gap_SCST,Equity_Gap_ReligMin,SC_Pct,ST_Pct,PMJAY_Enrolled,Opt_Out,Type1_Score,Type2_Score,Type3_Score,Type1_Score_norm,Type2_Score_norm,Type3_Score_norm,TCFD_Type,TCFD_Description,DiD_Treatment,HC_Cluster,KM_Cluster,RMNCH_norm,NCD_norm,FRP_norm,UHC_Index_norm,SCA_norm,Infectious_Diseases_norm,Equity_Gap_Poor_norm,Equity_Gap_SCST_norm,Equity_Gap_Rural_norm,Equity_Gap_ReligMin_norm,SCA_FRP_Gap_norm,SC_Pct_norm,ST_Pct_norm,Type1_Score_norm,Type2_Score_norm,T3_ASHA_inv_norm,Type3_Score_norm
Andhra Pradesh,Anantapur,South,Andhra Pradesh,Anantapur,75.34,67.57,10.15,73.71,85.98,50.47,49.53,High UHC,44.17,85.98,-41.81,50.47,43.93,50.3,50.0,52.91,6.54,0.17,0.47,-2.44,16.4,5.5,1,0,0,0.24126488612786404,0.2847538423495746,0.0,0.2170491689202192,0.2083701087119245,Mixed,Multiple pathways near-equal — multi-pronged intervention required.,1,3.0,0.0,0.8413218219708246,0.1782117790662191,0.8579922566371683,0.5595625872498835,0.7727765074016126,0.659887640449438,0.3510754648195406,0.24164408310749774,0.1360401841774801,0.13107511045655373,0.25478194338179033,0.5141065830721003,0.0580168776371308,0.0,0.2170491689202192,0.5994795836669335,0.2083701087119245
Andhra Pradesh,Kurnool,South,Andhra Pradesh,Kurnool,64.34,81.83,11.13,56.74,85.66,49.08,50.92,High UHC,42.7,85.66,-42.96,49.08,40.45,48.16,48.78,51.07,8.63,0.92,0.3,-1.99,16.4,5.5,1,0,0,0.26852166098289443,0.2805639491007678,0.0,0.2737579904226003,0.20213738717335542,Type_II,Historical Injustice: SC/ST or income gaps embedded in health system access.,1,3.0,0.0,0.6775826138731765,0.2081171803478792,0.8535674778761062,0.5272219637040483,0.5685401372006258,0.8201123595505617,0.42726941305140353,0.2339656729900632,0.16743407283382167,0.14432989690721648,0.24221226363536996,0.5141065830721003,0.0580168776371308,0.0,0.2737579904226003,0.5994795836669335,0.20213738717335542
Andhra Pradesh,Krishna,South,Andhra Pradesh,Krishna,83.48,81.0,19.15,75.94,89.8,61.55,38.45,High UHC,56.0,89.8,-33.8,61.55,59.44,60.55,61.39,62.23,2.11,1.0,0.16,-0.68,16.4,5.5,1,0,0,0.20004392971918328,0.3139373596738724,0.0,0.13128730341814965,0.2517823691675226,Type_III,Policy-Actionable: PM-JAY gap or ASHA deficit — addressable in one budget cycle.,1,3.0,2.0,0.9624888359630842,0.452853219407995,0.9108130530973452,0.8173569101907863,0.7996148754362737,0.8107865168539325,0.18957345971563977,0.22764227642276422,0.1707827542904981,0.1829160530191458,0.3423324953546836,0.5141065830721003,0.0580168776371308,0.0,0.13128730341814965,0.5994795836669335,0.2517823691675226
Andhra Pradesh,West Godavari,South,Andhra Pradesh,West Godavari,74.53,81.88,19.92,69.17,87.25,59.3,40.7,High UHC,53.85,87.25,-33.4,59.3,58.65,58.73,59.56,56.6,0.65,0.57,-0.26,2.7,16.4,5.5,1,0,0,0.2091644595940029,0.3153947138473704,0.0,0.15026293437335875,0.2539502723113727,Type_III,Policy-Actionable: PM-JAY gap or ASHA deficit — addressable in one budget cycle.,1,3.0,2.0,0.8292646621018159,0.4763503204150138,0.8755530973451329,0.7650069799906931,0.718136959922975,0.8206741573033707,0.13634706525701784,0.2086720867208672,0.15278359146086226,0.2824742268041237,0.3467045578751776,0.5141065830721003,0.0580168776371308,0.0,0.15026293437335875,0.5994795836669335,0.2539502723113727
Andhra Pradesh,Srikakulam,South,Andhra Pradesh,Srikakulam,76.33,81.07,8.79,54.37,82.91,47.63,52.37,High UHC,41.47,82.91,-41.44,47.63,36.71,47.81,43.88,47.29,10.92,-0.18,3.75,0.34,16.4,5.5,1,0,0,0.37116903836390014,0.2861018949600603,0.0,0.48732000693214717,0.21037541911998578,Type_II,Historical Injustice: SC/ST or income gaps embedded in health system access.,1,3.0,0.0,0.856058350699613,0.1367104058590173,0.8155420353982301,0.4934853420195439,0.5400168491996629,0.811573033707865,0.5107546481954065,0.3897922312556459,0.1213897028045207,0.212960235640648,0.25882610121324734,0.5141065830721003,0.0580168776371308,0.0,0.48732000693214717,0.5994795836669335,0.21037541911998578
Andhra Pradesh,Visakhapatnam,South,Andhra Pradesh,Visakhapatnam,70.18,83.44,13.94,72.25,84.27,54.86,45.14,High UHC,49.28,84.27,-34.99,54.86,46.59,52.68,48.22,51.79,8.27,2.18,6.64,3.07,16.4,5.5,1,0,0,0.4092809688787509,0.30960173100771576,0.0,0.566613418429764,0.24533285731456858,Type_II,Historical Injustice: SC/ST or income gaps embedded in health system access.,1,3.0,0.0,0.7645132479904734,0.2938663411657003,0.8343473451327434,0.6617031177291763,0.7552051991816102,0.8382022471910111,0.41414509660955157,0.5203252032520325,0.2201758057764755,0.29337260677466864,0.32932560935621374,0.5141065830721003,0.0580168776371308,0.0,0.566613418429764,0.5994795836669335,0.24533285731456858
Arunachal Pradesh,Upper Siang,Northeast,Arunachal Pradesh,Upper Siang,51.02,97.84,10.29,45.7,62.63,43.0,57.0,Medium UHC,39.14,62.63,-23.49,43.0,35.13,42.72,42.49,42.67,7.87,0.28,0.51,0.33,0.0,68.8,1,0,2,0.28522632515230556,0.47673195964381315,0.6666666666666666,0.30851271924428725,0.4939492572819949,Type_I,Structural-Physical: Geographic isolation or terrain prevents service access.,1,1.0,1.0,0.479309318249479,0.1824839792493134,0.5351216814159292,0.3857608189855745,0.4356721627151281,1.0,0.3995625227852716,0.24345076784101172,0.14064462118041018,0.21266568483063328,0.4550224068204175,0.0,0.7257383966244725,0.6666666666666666,0.30851271924428725,0.9751734721110221,0.4939492572819949
Arunachal Pradesh,Longding,Northeast,Arunachal Pradesh,Longding,46.88,82.32,8.96,65.05,47.54,40.35,59.65,Low UHC,38.73,47.54,-8.81,40.35,30.6,38.49,39.42,39.94,9.75,1.86,0.93,0.41,0.0,68.8,1,0,2,0.3151812228710158,0.5302168578111903,0.6666666666666666,0.3708350943927511,0.5735113026612935,Type_I,Structural-Physical: Geographic isolation or terrain prevents service access.,1,1.0,1.0,0.417683834474546,0.1418980775099176,0.3264657079646018,0.3241042345276872,0.6685521723432422,0.8256179775280897,0.46810061975938755,0.26242095754290873,0.20678107994976974,0.21502209131075112,0.6154771013225488,0.0,0.7257383966244725,0.6666666666666666,0.3708350943927511,0.9751734721110221,0.5735113026612935
Arunachal Pradesh,Kurung Kumey,Northeast,Arunachal Pradesh,Kurung Kumey,56.13,82.53,11.22,45.55,45.8,40.46,59.54,Low UHC,39.22,45.8,-6.58,40.46,24.25,40.24,40.74,40.29,16.21,0.22,-0.28,0.17,0.0,68.8,1,0,2,0.3731102677486724,0.5383416073284417,0.6666666666666666,0.4913588131101242,0.5855973626882577,Type_I,Structural-Physical: Geographic isolation or terrain prevents service access.,1,1.0,1.0,0.5553736231021137,0.2108635947512969,0.3024059734513274,0.3266635644485807,0.4338668913226621,0.8279775280898876,0.7036091870215093,0.2077687443541102,0.13813311008790286,0.20795287187039765,0.6398513498743031,0.0,0.7257383966244725,0.6666666666666666,0.4913588131101242,0.9751734721110221,0.5855973626882577
Arunachal Pradesh,Namsai,Northeast,Arunachal Pradesh,Namsai,51.83,82.89,10.4,62.2,51.0,42.68,57.32,Medium UHC,40.83,51.0,-10.17,42.68,26.42,41.85,41.52,40.64,16.26,0.83,1.16,2.04,0.0,68.8,1,0,2,0.41375842561777015,0.5252618536212971,0.6666666666666666,0.5759289481044282,0.5661404319722031,Type_I,Structural-Physical: Geographic isolation or terrain prevents service access.,1,1.0,1.0,0.4913664781184875,0.1858407079646018,0.3743086283185841,0.3783154955793392,0.6342520158863882,0.8320224719101122,0.7054320087495444,0.2728093947606143,0.16366680619506066,0.2630338733431517,0.6006120887528691,0.0,0.7257383966244725,0.6666666666666666,0.5759289481044282,0.9751734721110221,0.5661404319722031
Arunachal Pradesh,East Siang,Northeast,Arunachal Pradesh,East Siang,42.94,92.63,7.12,66.16,54.02,39.9,60.1,Low UHC,36.99,54.02,-17.03,39.9,30.17,39.8,39.62,40.47,9.73,0.1,0.28,-0.57,0.0,68.8,1,0,3,0.29552997787359586,0.5002682295458061,1.0,0.3299498850902801,0.5289608930551739,Type_I,Structural-Physical: Geographic isolation or terrain prevents service access.,1,1.0,1.0,0.3590354272104792,0.0857491608178211,0.4160674778761062,0.3136342484876685,0.6819111806474907,0.9414606741573032,0.46737149106817355,0.23306233062330622,0.13311008790288822,0.1861561119293078,0.5256312165263962,0.0,0.7257383966244725,1.0,0.3299498850902801,0.9751734721110221,0.5289608930551739
Arunachal Pradesh,Lohit,Northeast,Arunachal Pradesh,Lohit,50.72,85.84,14.3,62.2,53.89,46.12,53.88,Medium UHC,44.36,53.89,-9.53,46.12,29.24,44.0,46.11,46.08,16.88,2.12,0.01,0.04,0.0,68.8,1,0,2,0.3843419727298237,0.5275936202988939,0.6666666666666666,0.5147268291843357,0.5696090770023633,Type_I,Structural-Physical: Geographic isolation or terrain prevents service access.,1,1.0,1.0,0.4748437034831795,0.3048519987793714,0.4142699115044247,0.4583527221963703,0.6342520158863882,0.8651685393258427,0.7280349981771782,0.2208672086720867,0.21766429468396817,0.20412371134020618,0.6076073887856596,0.0,0.7257383966244725,0.6666666666666666,0.5147268291843357,0.9751734721110221,0.5696090770023633
Arunachal Pradesh,Changlang,Northeast,Arunachal Pradesh,Changlang,52.48,82.02,8.86,77.33,58.51,44.4,55.6,Medium UHC,41.44,58.51,-17.07,44.4,31.74,44.0,44.47,43.37,12.66,0.4,-0.07,1.03,0.0,68.8,1,0,2,0.3415756416892491,0.5001224941284563,0.6666666666666666,0.42574974931371057,0.528744102740789,Type_I,Structural-Physical: Geographic isolation or terrain prevents service access.,1,3.0,0.0,0.5010419767788031,0.1388465059505645,0.4781526548672566,0.4183341088878547,0.8163437236731255,0.8222471910112359,0.5741888443310244,0.2172538392050587,0.14566764336542484,0.23328424153166422,0.5251940102743469,0.0,0.7257383966244725,0.6666666666666666,0.42574974931371057,0.9751734721110221,0.528744102740789
Arunachal Pradesh,Tawang,Northeast,Arunachal Pradesh,Tawang,55.93,90.65,14.01,43.37,54.86,44.22,55.78,Medium UHC,41.9,54.86,-12.96,44.22,31.15,44.14,44.08,44.47,13.07,0.08,0.14,-0.25,0.0,68.8,1,0,2,0.3371522181355659,0.5150968082611485,0.6666666666666666,0.41654663786456003,0.5510193075438488,Type_I,Structural-Physical: Geographic isolation or terrain prevents service access.,1,1.0,1.0,0.5523965465912474,0.2960024412572475,0.4276825221238938,0.4141461144718472,0.4076302804188229,0.9192134831460674,0.5891359825009114,0.2267389340560072,0.13227291753871911,0.19558173784977909,0.5701169526724231,0.0,0.7257383966244725,0.6666666666666666,0.41654663786456003,0.9751734721110221,0.5510193075438488
Arunachal Pradesh,East Kameng,Northeast,Arunachal Pradesh,East Kameng,51.41,82.52,7.79,45.11,42.2,36.29,63.71,Low UHC,34.94,42.2,-7.26,36.29,21.24,35.82,36.33,37.45,15.05,0.47,-0.04,-1.16,0.0,68.8,1,0,3,0.34956872994157684,0.5358641052334951,1.0,0.44237969241464126,0.5819119273437126,Type_I,Structural-Physical: Geographic isolation or terrain prevents service access.,1,1.0,1.0,0.4851146174456683,0.1061946902654867,0.2526272123893806,0.2296416938110748,0.4285714285714285,0.8278651685393257,0.6613197229310973,0.2186088527551942,0.1485977396400167,0.1687776141384389,0.6324188435894633,0.0,0.7257383966244725,1.0,0.44237969241464126,0.9751734721110221,0.5819119273437126
Arunachal Pradesh,Siang,Northeast,Arunachal Pradesh,Siang,53.07,91.88,9.44,59.27,51.91,42.68,57.32,Medium UHC,40.64,51.91,-11.27,42.68,29.4,42.94,42.71,42.75,13.28,-0.26,-0.03,-0.07,0.0,68.8,1,0,2,0.3389120033757584,0.5212541296441775,0.6666666666666666,0.42020794216777935,0.5601786983266154,Type_I,Structural-Physical: Geographic isolation or terrain prevents service access.,1,3.0,1.0,0.5098243524858589,0.1565456209948123,0.3868915929203539,0.3783154955793392,0.5989890480202191,0.9330337078651684,0.5967918337586583,0.2190605239385727,0.11804102134784426,0.2008836524300442,0.5885889168215105,0.0,0.7257383966244725,0.6666666666666666,0.42020794216777935,0.9751734721110221,0.5601786983266154
Arunachal Pradesh,West Siang,Northeast,Arunachal Pradesh,West Siang,43.85,89.02,7.01,48.22,52.03,36.92,63.08,Low UHC,33.89,52.03,-18.14,36.92,26.02,36.38,37.07,36.59,10.9,0.54,-0.15,0.33,0.0,68.8,1,0,3,0.3121105580242855,0.4962240717143491,1.0,0.3644464520969174,0.52294496183099,Type_I,Structural-Physical: Geographic isolation or terrain prevents service access.,1,1.0,1.0,0.372581125334921,0.0823924321025328,0.3885508849557522,0.2442996742671009,0.466000722108557,0.9008988764044944,0.5100255195041925,0.2136404697380307,0.1515278359146086,0.21266568483063328,0.5134987430320253,0.0,0.7257383966244725,1.0,0.3644464520969174,0.9751734721110221,0.52294496183099
Arunachal Pradesh,Lower Subansiri,Northeast,Arunachal Pradesh,Lower Subansiri,54.35,83.86,12.78,39.97,58.52,42.35,57.65,Medium UHC,39.06,58.52,-19.46,42.35,25.18,42.24,42.28,42.7,17.17,0.11,0.07,-0.35,0.0,68.8,1,0,2,0.3849402765739236,0.49141480294180573,0.6666666666666666,0.5159716245087902,0.5157908814562848,Type_I,Structural-Physical: Geographic isolation or terrain prevents service access.,1,1.0,1.0,0.5288776421554033,0.2584681110772048,0.4782909292035399,0.3706375058166589,0.3667107955229269,0.8429213483146066,0.7386073641997813,0.22357723577235772,0.13352867308497277,0.19263622974963182,0.49907093671439495,0.0,0.7257383966244725,0.6666666666666666,0.5159716245087902,0.9751734721110221,0.5157908814562848
Arunachal Pradesh,Kra Daadi,Northeast,Arunachal Pradesh,Kra Daadi,42.84,85.25,9.41,45.55,54.9,38.62,61.38,Low UHC,35.37,54.9,-19.53,38.62,23.09,38.89,38.56,38.49,15.53,-0.27,0.06,0.13,0.0,68.8,1,0,3,0.36957301491318373,0.49115976596144356,1.0,0.4839994156493679,0.515411498406111,Type_I,Structural-Physical: Geographic isolation or terrain prevents service access.,1,1.0,1.0,0.3575468889550461,0.1556301495270064,0.4282356194690265,0.2838529548627266,0.4338668913226621,0.8585393258426965,0.6788188115202333,0.2231255645889792,0.11762243616575971,0.20677466863033875,0.4983058257733085,0.0,0.7257383966244725,1.0,0.4839994156493679,0.9751734721110221,0.515411498406111
Arunachal Pradesh,Anjaw,Northeast,Arunachal Pradesh,Anjaw,57.72,84.33,8.62,37.78,47.4,37.6,62.4,Low UHC,35.48,47.4,-11.92,37.6,22.78,37.72,37.63,39.77,14.82,-0.12,-0.03,-2.17,0.0,68.8,1,0,3,0.33700774974922015,0.5188859291122433,1.0,0.41624606554895816,0.556655855717859,Type_I,Structural-Physical: Geographic isolation or terrain prevents service access.,1,1.0,1.0,0.579041381363501,0.1315227342081172,0.3245298672566372,0.2601209865053513,0.3403538331929233,0.8482022471910111,0.6529347429821364,0.2190605239385727,0.12390121389702803,0.1390279823269514,0.5814843152257076,0.0,0.7257383966244725,1.0,0.41624606554895816,0.9751734721110221,0.556655855717859
Arunachal Pradesh,Papum Pare,Northeast,Arunachal Pradesh,Papum Pare,50.67,75.47,16.65,42.43,53.72,42.89,57.11,Medium UHC,40.54,53.72,-13.18,42.89,26.96,42.59,44.3,43.71,15.93,0.3,-1.41,-0.82,0.0,68.8,1,0,2,0.3429745425519308,0.5142952634657245,0.6666666666666666,0.42866021908657537,0.5498269608147311,Type_I,Structural-Physical: Geographic isolation or terrain prevents service access.,1,1.0,1.0,0.4740994343554628,0.3765639304241684,0.4119192477876106,0.3832014890646812,0.3963172463593693,0.7486516853932583,0.6934013853445132,0.15672990063233966,0.1414817915445793,0.17879234167893962,0.5677123182861514,0.0,0.7257383966244725,0.6666666666666666,0.42866021908657537,0.9751734721110221,0.5498269608147311
Arunachal Pradesh,West Kameng,Northeast,Arunachal Pradesh,West Kameng,41.47,95.72,9.13,63.46,63.97,43.01,56.99,Medium UHC,38.94,63.97,-25.03,43.01,25.08,42.71,43.18,43.36,17.93,0.3,-0.17,-0.35,0.0,68.8,1,0,2,0.39056253719560624,0.4711211460758458,0.6666666666666666,0.5276689649216095,0.4856028301781721,Type_I,Structural-Physical: Geographic isolation or terrain prevents service access.,1,1.0,1.0,0.3371539148556117,0.1470857491608178,0.5536504424778761,0.3859934853420195,0.6494162955831027,0.9761797752808988,0.7663142544659132,0.2127371273712737,0.1414817915445793,0.19263622974963182,0.4381899661165154,0.0,0.7257383966244725,0.6666666666666666,0.5276689649216095,0.9751734721110221,0.4856028301781721
Arunachal Pradesh,Upper Subansiri,Northeast,Arunachal Pradesh,Upper Subansiri,53.67,91.2,5.98,29.17,46.28,33.06,66.94,Low UHC,30.4,46.28,-15.88,33.06,22.95,33.06,32.86,33.04,10.11,0.0,0.2,0.02,0.0,68.8,1,0,3,0.3047361690258981,0.5044581227946129,1.0,0.34910373779477044,0.535193614593743,Type_I,Structural-Physical: Geographic isolation or terrain prevents service access.,1,1.0,1.0,0.5187555820184578,0.0509612450411962,0.3090431415929204,0.1544904606793857,0.2367312552653749,0.9253932584269662,0.4812249362012394,0.22944896115627822,0.12892423608204268,0.20353460972017673,0.5382008962728166,0.0,0.7257383966244725,1.0,0.34910373779477044,0.9751734721110221,0.535193614593743
Arunachal Pradesh,Tirap,Northeast,Arunachal Pradesh,Tirap,45.08,91.94,9.64,65.05,51.41,42.18,57.82,Medium UHC,40.15,51.41,-11.26,42.18,33.22,40.61,42.22,41.43,8.96,1.57,-0.04,0.75,0.0,68.8,1,0,2,0.29431523602096016,0.521290563498515,0.6666666666666666,0.3274225655794806,0.5602328959052116,Type_I,Structural-Physical: Geographic isolation or terrain prevents service access.,1,1.0,1.0,0.390890145876749,0.1626487641135185,0.3799778761061946,0.3666821777570962,0.6685521723432422,0.9337078651685392,0.43930003645643456,0.2186088527551942,0.19464210966931766,0.22503681885125185,0.5886982183845229,0.0,0.7257383966244725,0.6666666666666666,0.3274225655794806,0.9751734721110221,0.5602328959052116
Arunachal Pradesh,Dibang Valley,Northeast,Arunachal Pradesh,Dibang Valley,62.13,97.23,9.12,14.28,53.46,33.48,66.52,Low UHC,29.78,53.46,-23.68,33.48,21.57,32.2,33.59,32.592,11.91,1.28,-0.11,0.89,0.0,68.8,1,0,3,0.3304847343578341,0.47603971641140164,1.0,0.4026746684392547,0.4929195032886662,Type_I,Structural-Physical: Geographic isolation or terrain prevents service access.,1,1.0,1.0,0.6446859184281036,0.1467805920048825,0.4083241150442478,0.1642624476500697,0.0575279817065832,0.9931460674157304,0.5468465184104995,0.2154471544715447,0.18250313938886562,0.22916053019145805,0.4529456771231828,0.0,0.7257383966244725,1.0,0.4026746684392547,0.9751734721110221,0.4929195032886662
