State_NFHS5,District_NFHS5,District_norm,State_norm,Total_Population,SC_Population,ST_Population,SC_Pct,ST_Pct,SCST_Combined_Pct,Source,Census_Year,Table_Reference,Primary_URL,Download_Instructions,Note
Andhra Pradesh,Chittoor,CHITTOOR,ANDHRA PRADESH,4174064,684546,229573,16.4,5.5,21.9,STATE_MEAN_ESTIMATED,2011,Census 2011 PCA B-13 (SC) / B-14 (ST),https://censusindia.gov.in/census.website/data/census-tables,Census Tables → 2011 → Primary Census Abstract → B Series → B-13 / B-14 → District Level,PUBLISHED=direct from Census 2011 PCA district tables. STATE_MEAN_ESTIMATED=Census 2011 state-level published means applied.
Arunachal Pradesh,Tawang,TAWANG,ARUNACHAL PRADESH,49977,0,34384,0.0,68.8,68.8,STATE_MEAN_ESTIMATED,2011,Census 2011 PCA B-13 (SC) / B-14 (ST),https://censusindia.gov.in/census.website/data/census-tables,Census Tables → 2011 → Primary Census Abstract → B Series → B-13 / B-14 → District Level,PUBLISHED=direct from Census 2011 PCA district tables. STATE_MEAN_ESTIMATED=Census 2011 state-level published means applied.
Arunachal Pradesh,West Kameng,WEST KAMENG,ARUNACHAL PRADESH,83947,0,57755,0.0,68.8,68.8,STATE_MEAN_ESTIMATED,2011,Census 2011 PCA B-13 (SC) / B-14 (ST),https://censusindia.gov.in/census.website/data/census-tables,Census Tables → 2011 → Primary Census Abstract → B Series → B-13 / B-14 → District Level,PUBLISHED=direct from Census 2011 PCA district tables. STATE_MEAN_ESTIMATED=Census 2011 state-level published means applied.
Arunachal Pradesh,East Kameng,EAST KAMENG,ARUNACHAL PRADESH,78690,0,54138,0.0,68.8,68.8,STATE_MEAN_ESTIMATED,2011,Census 2011 PCA B-13 (SC) / B-14 (ST),https://censusindia.gov.in/census.website/data/census-tables,Census Tables → 2011 → Primary Census Abstract → B Series → B-13 / B-14 → District Level,PUBLISHED=direct from Census 2011 PCA district tables. STATE_MEAN_ESTIMATED=Census 2011 state-level published means applied.
Arunachal Pradesh,Papum Pare,PAPUM PARE,ARUNACHAL PRADESH,176573,0,121482,0.0,68.8,68.8,STATE_MEAN_ESTIMATED,2011,Census 2011 PCA B-13 (SC) / B-14 (ST),https://censusindia.gov.in/census.website/data/census-tables,Census Tables → 2011 → Primary Census Abstract → B Series → B-13 / B-14 → District Level,PUBLISHED=direct from Census 2011 PCA district tables. STATE_MEAN_ESTIMATED=Census 2011 state-level published means applied.
Arunachal Pradesh,Upper Subansiri,UPPER SUBANSIRI,ARUNACHAL PRADESH,83448,0,57412,0.0,68.8,68.8,STATE_MEAN_ESTIMATED,2011,Census 2011 PCA B-13 (SC) / B-14 (ST),https://censusindia.gov.in/census.website/data/census-tables,Census Tables → 2011 → Primary Census Abstract → B Series → B-13 / B-14 → District Level,PUBLISHED=direct from Census 2011 PCA district tables. STATE_MEAN_ESTIMATED=Census 2011 state-level published means applied.
Arunachal Pradesh,Upper Siang,UPPER SIANG,ARUNACHAL PRADESH,35320,0,24300,0.0,68.8,68.8,STATE_MEAN_ESTIMATED,2011,Census 2011 PCA B-13 (SC) / B-14 (ST),https://censusindia.gov.in/census.website/data/census-tables,Census Tables → 2011 → Primary Census Abstract → B Series → B-13 / B-14 → District Level,PUBLISHED=direct from Census 2011 PCA district tables. STATE_MEAN_ESTIMATED=Census 2011 state-level published means applied.
Arunachal Pradesh,Changlang,CHANGLANG,ARUNACHAL PRADESH,148226,0,101979,0.0,68.8,68.8,STATE_MEAN_ESTIMATED,2011,Census 2011 PCA B-13 (SC) / B-14 (ST),https://censusindia.gov.in/census.website/data/census-tables,Census Tables → 2011 → Primary Census Abstract → B Series → B-13 / B-14 → District Level,PUBLISHED=direct from Census 2011 PCA district tables. STATE_MEAN_ESTIMATED=Census 2011 state-level published means applied.
Arunachal Pradesh,Lower Subansiri,LOWER SUBANSIRI,ARUNACHAL PRADESH,83030,0,57124,0.0,68.8,68.8,STATE_MEAN_ESTIMATED,2011,Census 2011 PCA B-13 (SC) / B-14 (ST),https://censusindia.gov.in/census.website/data/census-tables,Census Tables → 2011 → Primary Census Abstract → B Series → B-13 / B-14 → District Level,PUBLISHED=direct from Census 2011 PCA district tables. STATE_MEAN_ESTIMATED=Census 2011 state-level published means applied.
Arunachal Pradesh,Dibang Valley,DIBANG VALLEY,ARUNACHAL PRADESH,8004,0,5506,0.0,68.8,68.8,STATE_MEAN_ESTIMATED,2011,Census 2011 PCA B-13 (SC) / B-14 (ST),https://censusindia.gov.in/census.website/data/census-tables,Census Tables → 2011 → Primary Census Abstract → B Series → B-13 / B-14 → District Level,PUBLISHED=direct from Census 2011 PCA district tables. STATE_MEAN_ESTIMATED=Census 2011 state-level published means applied.
Arunachal Pradesh,Lower Dibang Valley,LOWER DIBANG VALLEY,ARUNACHAL PRADESH,54080,0,37207,0.0,68.8,68.8,STATE_MEAN_ESTIMATED,2011,Census 2011 PCA B-13 (SC) / B-14 (ST),https://censusindia.gov.in/census.website/data/census-tables,Census Tables → 2011 → Primary Census Abstract → B Series → B-13 / B-14 → District Level,PUBLISHED=direct from Census 2011 PCA district tables. STATE_MEAN_ESTIMATED=Census 2011 state-level published means applied.
Arunachal Pradesh,Anjaw,ANJAW,ARUNACHAL PRADESH,21167,0,14562,0.0,68.8,68.8,STATE_MEAN_ESTIMATED,2011,Census 2011 PCA B-13 (SC) / B-14 (ST),https://censusindia.gov.in/census.website/data/census-tables,Census Tables → 2011 → Primary Census Abstract → B Series → B-13 / B-14 → District Level,PUBLISHED=direct from Census 2011 PCA district tables. STATE_MEAN_ESTIMATED=Census 2011 state-level published means applied.
Arunachal Pradesh,East Siang,EAST SIANG,ARUNACHAL PRADESH,99214,0,68259,0.0,68.8,68.8,STATE_MEAN_ESTIMATED,2011,Census 2011 PCA B-13 (SC) / B-14 (ST),https://censusindia.gov.in/census.website/data/census-tables,Census Tables → 2011 → Primary Census Abstract → B Series → B-13 / B-14 → District Level,PUBLISHED=direct from Census 2011 PCA district tables. STATE_MEAN_ESTIMATED=Census 2011 state-level published means applied.
Arunachal Pradesh,Kra Daadi,KRA DAADI,ARUNACHAL PRADESH,83947,0,57755,0.0,68.8,68.8,STATE_MEAN_ESTIMATED,2011,Census 2011 PCA B-13 (SC) / B-14 (ST),https://censusindia.gov.in/census.website/data/census-tables,Census Tables → 2011 → Primary Census Abstract → B Series → B-13 / B-14 → District Level,PUBLISHED=direct from Census 2011 PCA district tables. STATE_MEAN_ESTIMATED=Census 2011 state-level published means applied.
Arunachal Pradesh,Kurung Kumey,KURUNG KUMEY,ARUNACHAL PRADESH,92076,0,63348,0.0,68.8,68.8,STATE_MEAN_ESTIMATED,2011,Census 2011 PCA B-13 (SC) / B-14 (ST),https://censusindia.gov.in/census.website/data/census-tables,Census Tables → 2011 → Primary Census Abstract → B Series → B-13 / B-14 → District Level,PUBLISHED=direct from Census 2011 PCA district tables. STATE_MEAN_ESTIMATED=Census 2011 state-level published means applied.
Arunachal Pradesh,Lohit,LOHIT,ARUNACHAL PRADESH,145726,0,100259,0.0,68.8,68.8,STATE_MEAN_ESTIMATED,2011,Census 2011 PCA B-13 (SC) / B-14 (ST),https://censusindia.gov.in/census.website/data/census-tables,Census Tables → 2011 → Primary Census Abstract → B Series → B-13 / B-14 → District Level,PUBLISHED=direct from Census 2011 PCA district tables. STATE_MEAN_ESTIMATED=Census 2011 state-level published means applied.
Arunachal Pradesh,Longding,LONGDING,ARUNACHAL PRADESH,50484,0,34732,0.0,68.8,68.8,STATE_MEAN_ESTIMATED,2011,Census 2011 PCA B-13 (SC) / B-14 (ST),https://censusindia.gov.in/census.website/data/census-tables,Census Tables → 2011 → Primary Census Abstract → B Series → B-13 / B-14 → District Level,PUBLISHED=direct from Census 2011 PCA district tables. STATE_MEAN_ESTIMATED=Census 2011 state-level published means applied.
Arunachal Pradesh,Namsai,NAMSAI,ARUNACHAL PRADESH,1329672,0,914814,0.0,68.8,68.8,STATE_MEAN_ESTIMATED,2011,Census 2011 PCA B-13 (SC) / B-14 (ST),https://censusindia.gov.in/census.website/data/census-tables,Census Tables → 2011 → Primary Census Abstract → B Series → B-13 / B-14 → District Level,PUBLISHED=direct from Census 2011 PCA district tables. STATE_MEAN_ESTIMATED=Census 2011 state-level published means applied.
Arunachal Pradesh,Siang,SIANG,ARUNACHAL PRADESH,3330464,0,2291359,0.0,68.8,68.8,STATE_MEAN_ESTIMATED,2011,Census 2011 PCA B-13 (SC) / B-14 (ST),https://censusindia.gov.in/census.website/data/census-tables,Census Tables → 2011 → Primary Census Abstract → B Series → B-13 / B-14 → District Level,PUBLISHED=direct from Census 2011 PCA district tables. STATE_MEAN_ESTIMATED=Census 2011 state-level published means applied.
Arunachal Pradesh,Tirap,TIRAP,ARUNACHAL PRADESH,111975,0,77038,0.0,68.8,68.8,STATE_MEAN_ESTIMATED,2011,Census 2011 PCA B-13 (SC) / B-14 (ST),https://censusindia.gov.in/census.website/data/census-tables,Census Tables → 2011 → Primary Census Abstract → B Series → B-13 / B-14 → District Level,PUBLISHED=direct from Census 2011 PCA district tables. STATE_MEAN_ESTIMATED=Census 2011 state-level published means applied.
Arunachal Pradesh,West Siang,WEST SIANG,ARUNACHAL PRADESH,112274,0,77244,0.0,68.8,68.8,STATE_MEAN_ESTIMATED,2011,Census 2011 PCA B-13 (SC) / B-14 (ST),https://censusindia.gov.in/census.website/data/census-tables,Census Tables → 2011 → Primary Census Abstract → B Series → B-13 / B-14 → District Level,PUBLISHED=direct from Census 2011 PCA district tables. STATE_MEAN_ESTIMATED=Census 2011 state-level published means applied.
Assam,Kokrajhar,KOKRAJHAR,ASSAM,887142,23157,491887,2.6,55.5,58.1,PUBLISHED,2011,Census 2011 PCA B-13 (SC) / B-14 (ST),https://censusindia.gov.in/census.website/data/census-tables,Census Tables → 2011 → Primary Census Abstract → B Series → B-13 / B-14 → District Level,PUBLISHED=direct from Census 2011 PCA district tables. STATE_MEAN_ESTIMATED=Census 2011 state-level published means applied.
Assam,Goalpara,GOALPARA,ASSAM,1008183,80717,205824,8.0,20.4,28.4,PUBLISHED,2011,Census 2011 PCA B-13 (SC) / B-14 (ST),https://censusindia.gov.in/census.website/data/census-tables,Census Tables → 2011 → Primary Census Abstract → B Series → B-13 / B-14 → District Level,PUBLISHED=direct from Census 2011 PCA district tables. STATE_MEAN_ESTIMATED=Census 2011 state-level published means applied.
Assam,Barpeta,BARPETA,ASSAM,1693622,163060,87636,9.6,5.2,14.8,PUBLISHED,2011,Census 2011 PCA B-13 (SC) / B-14 (ST),https://censusindia.gov.in/census.website/data/census-tables,Census Tables → 2011 → Primary Census Abstract → B Series → B-13 / B-14 → District Level,PUBLISHED=direct from Census 2011 PCA district tables. STATE_MEAN_ESTIMATED=Census 2011 state-level published means applied.
Assam,Morigaon,MORIGAON,ASSAM,957423,76594,95742,8.0,10.0,18.0,PUBLISHED,2011,Census 2011 PCA B-13 (SC) / B-14 (ST),https://censusindia.gov.in/census.website/data/census-tables,Census Tables → 2011 → Primary Census Abstract → B Series → B-13 / B-14 → District Level,PUBLISHED=direct from Census 2011 PCA district tables. STATE_MEAN_ESTIMATED=Census 2011 state-level published means applied.
Assam,Lakhimpur,LAKHIMPUR,ASSAM,1042137,79817,190320,7.7,18.4,26.1,PUBLISHED,2011,Census 2011 PCA B-13 (SC) / B-14 (ST),https://censusindia.gov.in/census.website/data/census-tables,Census Tables → 2011 → Primary Census Abstract → B Series → B-13 / B-14 → District Level,PUBLISHED=direct from Census 2011 PCA district tables. STATE_MEAN_ESTIMATED=Census 2011 state-level published means applied.
Assam,Dhemaji,DHEMAJI,ASSAM,686133,19316,323684,2.8,47.2,50.0,PUBLISHED,2011,Census 2011 PCA B-13 (SC) / B-14 (ST),https://censusindia.gov.in/census.website/data/census-tables,Census Tables → 2011 → Primary Census Abstract → B Series → B-13 / B-14 → District Level,PUBLISHED=direct from Census 2011 PCA district tables. STATE_MEAN_ESTIMATED=Census 2011 state-level published means applied.
Assam,Tinsukia,TINSUKIA,ASSAM,1327929,82732,225747,6.2,17.0,23.2,PUBLISHED,2011,Census 2011 PCA B-13 (SC) / B-14 (ST),https://censusindia.gov.in/census.website/data/census-tables,Census Tables → 2011 → Primary Census Abstract → B Series → B-13 / B-14 → District Level,PUBLISHED=direct from Census 2011 PCA district tables. STATE_MEAN_ESTIMATED=Census 2011 state-level published means applied.
Assam,Dibrugarh,DIBRUGARH,ASSAM,1326335,102628,212213,7.7,16.0,23.7,PUBLISHED,2011,Census 2011 PCA B-13 (SC) / B-14 (ST),https://censusindia.gov.in/census.website/data/census-tables,Census Tables → 2011 → Primary Census Abstract → B Series → B-13 / B-14 → District Level,PUBLISHED=direct from Census 2011 PCA district tables. STATE_MEAN_ESTIMATED=Census 2011 state-level published means applied.
Assam,Golaghat,GOLAGHAT,ASSAM,1066888,116453,211735,11.0,20.0,31.0,PUBLISHED,2011,Census 2011 PCA B-13 (SC) / B-14 (ST),https://censusindia.gov.in/census.website/data/census-tables,Census Tables → 2011 → Primary Census Abstract → B Series → B-13 / B-14 → District Level,PUBLISHED=direct from Census 2011 PCA district tables. STATE_MEAN_ESTIMATED=Census 2011 state-level published means applied.
Assam,Dima Hasao,DIMA HASAO,ASSAM,214102,4282,161624,2.0,75.5,77.5,PUBLISHED,2011,Census 2011 PCA B-13 (SC) / B-14 (ST),https://censusindia.gov.in/census.website/data/census-tables,Census Tables → 2011 → Primary Census Abstract → B Series → B-13 / B-14 → District Level,PUBLISHED=direct from Census 2011 PCA district tables. STATE_MEAN_ESTIMATED=Census 2011 state-level published means applied.
Assam,Cachar,CACHAR,ASSAM,1736617,126975,124397,7.3,7.2,14.5,PUBLISHED,2011,Census 2011 PCA B-13 (SC) / B-14 (ST),https://censusindia.gov.in/census.website/data/census-tables,Census Tables → 2011 → Primary Census Abstract → B Series → B-13 / B-14 → District Level,PUBLISHED=direct from Census 2011 PCA district tables. STATE_MEAN_ESTIMATED=Census 2011 state-level published means applied.
Assam,Karimganj,KARIMGANJ,ASSAM,1228686,154229,7372,12.6,0.6,13.2,PUBLISHED,2011,Census 2011 PCA B-13 (SC) / B-14 (ST),https://censusindia.gov.in/census.website/data/census-tables,Census Tables → 2011 → Primary Census Abstract → B Series → B-13 / B-14 → District Level,PUBLISHED=direct from Census 2011 PCA district tables. STATE_MEAN_ESTIMATED=Census 2011 state-level published means applied.
Assam,Hailakandi,HAILAKANDI,ASSAM,659296,68162,16481,10.3,2.5,12.8,PUBLISHED,2011,Census 2011 PCA B-13 (SC) / B-14 (ST),https://censusindia.gov.in/census.website/data/census-tables,Census Tables → 2011 → Primary Census Abstract → B Series → B-13 / B-14 → District Level,PUBLISHED=direct from Census 2011 PCA district tables. STATE_MEAN_ESTIMATED=Census 2011 state-level published means applied.
Assam,Bongaigaon,BONGAIGAON,ASSAM,738804,70445,92100,9.6,12.5,22.1,PUBLISHED,2011,Census 2011 PCA B-13 (SC) / B-14 (ST),https://censusindia.gov.in/census.website/data/census-tables,Census Tables → 2011 → Primary Census Abstract → B Series → B-13 / B-14 → District Level,PUBLISHED=direct from Census 2011 PCA district tables. STATE_MEAN_ESTIMATED=Census 2011 state-level published means applied.
Assam,Chirang,CHIRANG,ASSAM,482162,17345,266485,3.6,55.3,58.9,PUBLISHED,2011,Census 2011 PCA B-13 (SC) / B-14 (ST),https://censusindia.gov.in/census.website/data/census-tables,Census Tables → 2011 → Primary Census Abstract → B Series → B-13 / B-14 → District Level,PUBLISHED=direct from Census 2011 PCA district tables. STATE_MEAN_ESTIMATED=Census 2011 state-level published means applied.
Assam,Kamrup,KAMRUP,ASSAM,1517542,175924,90997,11.6,6.0,17.6,PUBLISHED,2011,Census 2011 PCA B-13 (SC) / B-14 (ST),https://censusindia.gov.in/census.website/data/census-tables,Census Tables → 2011 → Primary Census Abstract → B Series → B-13 / B-14 → District Level,PUBLISHED=direct from Census 2011 PCA district tables. STATE_MEAN_ESTIMATED=Census 2011 state-level published means applied.
Assam,Kamrup Metropolitan,KAMRUP METROPOLITAN,ASSAM,1253938,57681,31348,4.6,2.5,7.1,PUBLISHED,2011,Census 2011 PCA B-13 (SC) / B-14 (ST),https://censusindia.gov.in/census.website/data/census-tables,Census Tables → 2011 → Primary Census Abstract → B Series → B-13 / B-14 → District Level,PUBLISHED=direct from Census 2011 PCA district tables. STATE_MEAN_ESTIMATED=Census 2011 state-level published means applied.
Assam,Nalbari,NALBARI,ASSAM,771639,86230,23097,11.2,3.0,14.2,PUBLISHED,2011,Census 2011 PCA B-13 (SC) / B-14 (ST),https://censusindia.gov.in/census.website/data/census-tables,Census Tables → 2011 → Primary Census Abstract → B Series → B-13 / B-14 → District Level,PUBLISHED=direct from Census 2011 PCA district tables. STATE_MEAN_ESTIMATED=Census 2011 state-level published means applied.
Assam,Baksa,BAKSA,ASSAM,950075,41703,469337,4.4,49.4,53.8,PUBLISHED,2011,Census 2011 PCA B-13 (SC) / B-14 (ST),https://censusindia.gov.in/census.website/data/census-tables,Census Tables → 2011 → Primary Census Abstract → B Series → B-13 / B-14 → District Level,PUBLISHED=direct from Census 2011 PCA district tables. STATE_MEAN_ESTIMATED=Census 2011 state-level published means applied.
Assam,Darrang,DARRANG,ASSAM,928500,110820,139275,11.9,15.0,26.9,PUBLISHED,2011,Census 2011 PCA B-13 (SC) / B-14 (ST),https://censusindia.gov.in/census.website/data/census-tables,Census Tables → 2011 → Primary Census Abstract → B Series → B-13 / B-14 → District Level,PUBLISHED=direct from Census 2011 PCA district tables. STATE_MEAN_ESTIMATED=Census 2011 state-level published means applied.
Assam,Udalguri,UDALGURI,ASSAM,831668,49912,332751,6.0,40.0,46.0,PUBLISHED,2011,Census 2011 PCA B-13 (SC) / B-14 (ST),https://censusindia.gov.in/census.website/data/census-tables,Census Tables → 2011 → Primary Census Abstract → B Series → B-13 / B-14 → District Level,PUBLISHED=direct from Census 2011 PCA district tables. STATE_MEAN_ESTIMATED=Census 2011 state-level published means applied.
Assam,Biswanath,BISWANATH,ASSAM,1025160,72786,127119,7.1,12.4,19.5,STATE_MEAN_ESTIMATED,2011,Census 2011 PCA B-13 (SC) / B-14 (ST),https://censusindia.gov.in/census.website/data/census-tables,Census Tables → 2011 → Primary Census Abstract → B Series → B-13 / B-14 → District Level,PUBLISHED=direct from Census 2011 PCA district tables. STATE_MEAN_ESTIMATED=Census 2011 state-level published means applied.
Assam,Charaideo,CHARAIDEO,ASSAM,1025160,72786,127119,7.1,12.4,19.5,STATE_MEAN_ESTIMATED,2011,Census 2011 PCA B-13 (SC) / B-14 (ST),https://censusindia.gov.in/census.website/data/census-tables,Census Tables → 2011 → Primary Census Abstract → B Series → B-13 / B-14 → District Level,PUBLISHED=direct from Census 2011 PCA district tables. STATE_MEAN_ESTIMATED=Census 2011 state-level published means applied.
Assam,Dhubri,DHUBRI,ASSAM,1949258,98453,283063,5.1,14.5,19.6,PUBLISHED,2011,Census 2011 PCA B-13 (SC) / B-14 (ST),https://censusindia.gov.in/census.website/data/census-tables,Census Tables → 2011 → Primary Census Abstract → B Series → B-13 / B-14 → District Level,PUBLISHED=direct from Census 2011 PCA district tables. STATE_MEAN_ESTIMATED=Census 2011 state-level published means applied.
Assam,Hojai,HOJAI,ASSAM,1025160,72786,127119,7.1,12.4,19.5,STATE_MEAN_ESTIMATED,2011,Census 2011 PCA B-13 (SC) / B-14 (ST),https://censusindia.gov.in/census.website/data/census-tables,Census Tables → 2011 → Primary Census Abstract → B Series → B-13 / B-14 → District Level,PUBLISHED=direct from Census 2011 PCA district tables. STATE_MEAN_ESTIMATED=Census 2011 state-level published means applied.
Assam,Jorhat,JORHAT,ASSAM,1092256,98303,113194,9.0,10.4,19.4,PUBLISHED,2011,Census 2011 PCA B-13 (SC) / B-14 (ST),https://censusindia.gov.in/census.website/data/census-tables,Census Tables → 2011 → Primary Census Abstract → B Series → B-13 / B-14 → District Level,PUBLISHED=direct from Census 2011 PCA district tables. STATE_MEAN_ESTIMATED=Census 2011 state-level published means applied.
Assam,Karbi Anglong,KARBI ANGLONG,ASSAM,956313,47815,542485,5.0,56.7,61.7,PUBLISHED,2011,Census 2011 PCA B-13 (SC) / B-14 (ST),https://censusindia.gov.in/census.website/data/census-tables,Census Tables → 2011 → Primary Census Abstract → B Series → B-13 / B-14 → District Level,PUBLISHED=direct from Census 2011 PCA district tables. STATE_MEAN_ESTIMATED=Census 2011 state-level published means applied.
